Cod_Producto,Bombona,Cod_Contenido,ContenidoFuente,Cod_UnidadFuente,UnidadFuenteLegacy,CantidadFuenteLegacy,M3GasResultado,PesoNetoKgResultado
217,"Nitrógeno Industrial B10 / 200BAR",379,"Nitrogeno Liquido - LIN",2,"Litros",2.228000,1.880000,2.230000
218,"Nitrógeno Industrial B14 / 200BAR",379,"Nitrogeno Liquido - LIN",2,"Litros",3.119000,2.630000,3.120000
219,"Nitrógeno Industrial B16 / 200BAR",379,"Nitrogeno Liquido - LIN",2,"Litros",3.564000,3.010000,3.560000
220,"Nitrógeno Industrial B20 / 200BAR",379,"Nitrogeno Liquido - LIN",2,"Litros",4.456000,3.760000,4.460000
221,"Nitrógeno Industrial B30 / 200BAR",379,"Nitrogeno Liquido - LIN",2,"Litros",6.683000,5.640000,6.680000
222,"Nitrógeno Industrial B40 / 200BAR",379,"Nitrogeno Liquido - LIN",2,"Litros",8.911000,7.520000,8.910000
223,"Nitrógeno Industrial B50 / 200BAR",379,"Nitrogeno Liquido - LIN",2,"Litros",11.139000,9.400000,11.140000
224,"Nitrógeno Industrial B80 / 200BAR",379,"Nitrogeno Liquido - LIN",2,"Litros",17.822000,15.040000,17.820000
225,"Nitrógeno Industrial 12*50 / 200BAR",379,"Nitrogeno Liquido - LIN",2,"Litros",133.668000,112.800000,133.670000
226,"Nitrógeno Industrial 16*50 / 200BAR",379,"Nitrogeno Liquido - LIN",2,"Litros",178.224000,150.400000,178.220000
227,"Nitrógeno Industrial 20*50 / 200BAR",379,"Nitrogeno Liquido - LIN",2,"Litros",222.780000,188.000000,222.780000
228,"Nitrógeno Industrial 12*80 / 200BAR",379,"Nitrogeno Liquido - LIN",2,"Litros",213.869000,180.480000,213.870000
229,"Nitrógeno Industrial 16*80 / 200BAR",379,"Nitrogeno Liquido - LIN",2,"Litros",285.158000,240.640000,285.160000
230,"Nitrógeno Industrial B2 / 300BAR",379,"Nitrogeno Liquido - LIN",2,"Litros",0.668000,0.560000,0.670000
231,"Nitrógeno Industrial B5 / 300BAR",379,"Nitrogeno Liquido - LIN",2,"Litros",1.671000,1.410000,1.670000
232,"Nitrógeno Industrial B7 / 300BAR",379,"Nitrogeno Liquido - LIN",2,"Litros",2.339000,1.970000,2.340000
233,"Nitrógeno Industrial B10 / 300BAR",379,"Nitrogeno Liquido - LIN",2,"Litros",3.342000,2.820000,3.340000
